"","type","scenario","frag_mod","tempC","Q_outlet","kA_avg","kR_avg","C_StStock_gC_total","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","C_gw_gC","WS_bentic_area_m2","max_breakdown_daily","min_breakdown_daily","max_StStock_daily","min_StStock_daily","Jdate","WS_benthic_area_m2"
"1","Acer","Base","M",6.94295454545455,827.57883817616,0.0125322463963207,0.00278496099876772,1130541.53837164,17281.8203679244,28341.44408638,10341.7372433807,17704.4302943324,4356.19874887117,97523.7048786763,30327.3161974358,25853.5826321725,1427390.73191168,791544.97242953,1,97523.7048786763
"2","Acer","ShalGW","M",6.5,827.57883817616,0.0121116108263631,0.00263369452989528,1267089.67607891,17281.8203679244,30951.2782305141,11307.011308157,19499.3078167216,4356.19874887117,97523.7048786763,32864.9156045208,28892.6631774644,1571567.2594487,950516.267012367,1,97523.7048786763
"3","Acer","DeepGW","M",8,827.57883817616,0.0133695104695562,0.00308862702754571,1311983.01788215,17281.8203679244,28069.0044755389,9026.84347011342,18839.7880128551,4356.19874887117,97523.7048786763,29871.4837316856,26005.4776242042,1583687.45016176,1039214.60411239,1,97523.7048786763
"4","Acer","NoGW","M",4,827.57883817616,0.0105059613060934,0.00207793587300793,786355.386843914,17281.8203679244,25468.7112504001,10520.5859192823,13972.9402944229,4356.19874887117,97523.7048786763,28406.7141395696,22047.7557837958,1155862.08146458,468181.998014308,1,97523.7048786763
"5","Acer","NoGW_Warm","M",6,827.57883817616,0.011833632366005,0.00252905996979946,602258.907626027,17281.8203679244,23499.6317087394,11658.8556088434,11631.0441516067,4356.19874887117,97523.7048786763,26759.5397776225,20612.6494169831,937291.095791862,322700.11905934,1,97523.7048786763
"6","Acer","DeepGW_Warm","M",8.5,827.57883817616,0.0137982286775288,0.00325128035341816,1235018.0356525,17281.8203679244,27569.3536076828,9204.33572996964,18099.6033768084,4356.19874887117,97523.7048786763,29429.8704613391,25239.943485464,1511145.41888265,932279.208136805,1,97523.7048786763
"7","Acer","ShalGW_Warm","M",8.5,827.57883817616,0.0137066569925828,0.00322452631923135,985408.288429513,17281.8203679244,28673.6296150608,11973.3989126472,16568.4038045134,4356.19874887117,97523.7048786763,30488.1985538825,26346.2705747877,1291835.31650857,666543.052305627,1,97523.7048786763
"8","Rhodo","ShalGW","M",6.5,827.57883817616,0.0121116108263631,0.00263369452989528,9228370.85830603,17281.8203679244,62511.6758703695,9830.12710754855,43776.2920872529,4356.19874887117,97523.7048786763,64183.5234323747,59872.4804073776,10442896.5898915,7785233.16793484,1,97523.7048786763
"9","Rhodo","DeepGW","M",8,827.57883817616,0.0133695104695562,0.00308862702754571,9657275.68187959,17281.8203679244,51819.6023121498,12441.9172769773,39085.1723083311,4356.19874887117,97523.7048786763,53357.3212631014,49516.384381017,10773928.5290073,8430249.19235385,1,97523.7048786763
"10","Rhodo","NoGW","M",4,827.57883817616,0.0105059613060934,0.00207793587300793,5347353.29750545,17281.8203679244,40146.6919873176,6122.54172031114,27623.0250273794,4356.19874887117,97523.7048786763,47005.0433211033,31177.5100154784,7135960.17866964,3366793.37641189,1,97523.7048786763
"11","Rhodo","NoGW_Warm","M",6,827.57883817616,0.011833632366005,0.00252905996979946,3380533.09659245,17281.8203679244,34729.1505157803,8706.79479899708,21242.0481379644,4356.19874887117,97523.7048786763,42859.0506042144,24781.0351514982,5165826.65721271,1583966.08658359,1,97523.7048786763
"12","Rhodo","DeepGW_Warm","M",8.5,827.57883817616,0.0137982286775288,0.00325128035341816,8995050.24815495,17281.8203679244,51197.6832856487,12982.2218260487,37925.0950557903,4356.19874887117,97523.7048786763,52909.2359501211,47970.7084887989,9996322.44118872,7702417.57821525,1,97523.7048786763
"13","Rhodo","ShalGW_Warm","M",8.5,827.57883817616,0.0137066569925828,0.00322452631923135,6665409.55810792,17281.8203679244,58270.7180756134,13311.838819115,37304.6294639945,4356.19874887117,97523.7048786763,61012.1414642614,53069.0677514075,8047060.6233823,4883959.13256867,1,97523.7048786763
"14","Mixed","Base","M",6.94295454545455,827.57883817616,0.0125322463963207,0.00278496099876772,4220104.12297883,17281.8203679244,37472.059453696,11788.0694129271,25384.5564468471,4356.19874887117,97523.7048786763,38804.9800689793,35717.9651691746,4827051.69094933,3523202.92852122,1,97523.7048786763
